#OTU ID,EP584156_K10_MRCD,EP584156_K20_MRCD,EP584156_K70_BRCD,EP584156_K110_BRCD,EP584156_K160_BRCD,EP584156_K180_BRCD,EP584156_K190_BRCD,EP584156_K200_BRCD,EP584156_K210_BRCD,EP584156_K220_BRCD,EP584156_K230_BRCD,EP584156_K240_BRCD,EP584156_K260_BRCD,EP584156_K270_BRCD,EP584156_K290_BRCD,EP584156_K300_BRCD,EP584156_K310_BRCD,EP584156_K350_BRCD,EP584156_K370_BRCD,EP584156_K390_BRCD,EP584156_K400_BRCD,EP584156_K410_BRCD,EP584156_K420_BRCD,EP584156_K460_BRCD,EP584156_K470_BRCD,EP584156_K480_BRCD,EP584156_K500_BRCD,EP584156_K510_BRCD,EP584156_K530_BRCD,EP584156_K550_BRCD
292289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
295478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0
296358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,3.0,13.0,6.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0
296487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
297503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
298006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
298427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
299267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
299851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,51.0,6.0,5.0,2.0,1.0,12.0,89.0,146.0,6.0,11.0,18.0,2.0,15.0,5.0,4.0,1.0,11.0,1.0,4.0,8.0
299883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,48.0,6.0,6.0,1.0,1.0,6.0,56.0,55.0,2.0,3.0,8.0,3.0,9.0,1.0,2.0,1.0,11.0,0.0,1.0,2.0
301184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,4.0,3.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0
